"ransom_group","file_name","file_link"
"Relic","UNLOCK_FILES.[hex_chars].HTML","https://www.ransomware.live/ransomnote/relic/UNLOCK_FILES.%5Bhex_chars%5D.HTML"
"Revil","revil1.txt","https://www.ransomware.live/ransomnote/revil/revil1.txt"
"Rhysida","CriticalBreachDetected.txt","https://www.ransomware.live/ransomnote/rhysida/CriticalBreachDetected.txt"
"Risen","$Risen_Note.txt","https://www.ransomware.live/ransomnote/risen/$Risen_Note.txt"
"Rook","rook.txt","https://www.ransomware.live/ransomnote/rook/rook.txt"
"Royal","royal.txt","https://www.ransomware.live/ransomnote/royal/royal.txt"
"Rtmlocker","How To Restore Your Files.txt","https://www.ransomware.live/ransomnote/rtmlocker/How%20To%20Restore%20Your%20Files.txt"
"Ryuk","ryuk.txt","https://www.ransomware.live/ransomnote/ryuk/ryuk.txt"
"Safepay","readme_safepay.txt","https://www.ransomware.live/ransomnote/safepay/readme_safepay.txt"
"Satancd","Warning.txt","https://www.ransomware.live/ransomnote/satancd/Warning.txt"
"Scarecrow","readme.txt","https://www.ransomware.live/ransomnote/scarecrow/readme.txt"
"Schoolboys","schoolboys.txt","https://www.ransomware.live/ransomnote/schoolboys/schoolboys.txt"
"Sensayq","[id].README.txt","https://www.ransomware.live/ransomnote/sensayq/%5Bid%5D.README.txt"
"Shadow","[rand].README.txt","https://www.ransomware.live/ransomnote/shadow/%5Brand%5D.README.txt"
"Sinobi","README.txt","https://www.ransomware.live/ransomnote/sinobi/README.txt"
"Slug","excel error.txt","https://www.ransomware.live/ransomnote/slug/excel%20error.txt"
"Snatch","snatch.txt","https://www.ransomware.live/ransomnote/snatch/snatch.txt"
"Stop","stop.txt","https://www.ransomware.live/ransomnote/stop/stop.txt"
"Sugar","sugar.txt","https://www.ransomware.live/ransomnote/sugar/sugar.txt"
"Suncrypt","suncrypt.html","https://www.ransomware.live/ransomnote/suncrypt/suncrypt.html"
"Synapse","[id].README.txt","https://www.ransomware.live/ransomnote/synapse/%5Bid%5D.README.txt"
"Targetcompany","How to decrypt files.txt","https://www.ransomware.live/ransomnote/targetcompany/How%20to%20decrypt%20files.txt"
"Tengu","[rand].README.txt","https://www.ransomware.live/ransomnote/tengu/%5Brand%5D.README.txt"
"Teslacrypt","teslacrypt.txt","https://www.ransomware.live/ransomnote/teslacrypt/teslacrypt.txt"
"Thegentlemen","README-GENTLEMEN.txt","https://www.ransomware.live/ransomnote/thegentlemen/README-GENTLEMEN.txt"
"Thor","thor.txt","https://www.ransomware.live/ransomnote/thor/thor.txt"
"Tommyleaks","TommyLeaks_Readme.txt","https://www.ransomware.live/ransomnote/tommyleaks/TommyLeaks_Readme.txt"
"Trigona","how_to_decrypt.hta","https://www.ransomware.live/ransomnote/trigona/how_to_decrypt.hta"
"Trinity","README.txt","https://www.ransomware.live/ransomnote/trinity/README.txt"
"U-Bomb","RECOVERY_INSTRUCTIONS.txt","https://www.ransomware.live/ransomnote/u-bomb/RECOVERY_INSTRUCTIONS.txt"
"Underground","!!readme!!!.txt","https://www.ransomware.live/ransomnote/underground/!!readme!!!.txt"
"Vanhelsing","README.txt","https://www.ransomware.live/ransomnote/vanhelsing/README.txt"
"Vicesociety","vicesociety.txt","https://www.ransomware.live/ransomnote/vicesociety/vicesociety.txt"
"Vohuk","R3ADM3.txt","https://www.ransomware.live/ransomnote/vohuk/R3ADM3.txt"
"Wa","README_iwzhu.txt","https://www.ransomware.live/ransomnote/wa/README_iwzhu.txt"
"Warlock","How to decrypt my data.txt","https://www.ransomware.live/ransomnote/warlock/How%20to%20decrypt%20my%20data.txt"
"Wastedlocker","wastedlocker.txt","https://www.ransomware.live/ransomnote/wastedlocker/wastedlocker.txt"
"Weaxor","RECOVERY_INFO.txt","https://www.ransomware.live/ransomnote/weaxor/RECOVERY_INFO.txt"
"Whitelock","c0ntact.txt","https://www.ransomware.live/ransomnote/whitelock/c0ntact.txt"
"Worldleaks","worldleaks.txt","https://www.ransomware.live/ransomnote/worldleaks/worldleaks.txt"
"Xleaks","Decryption Instructions.txt","https://www.ransomware.live/ransomnote/xleaks/Decryption%20Instructions.txt"
"Xorist","xorist.txt","https://www.ransomware.live/ransomnote/xorist/xorist.txt"
"Yanluowang","yanluowang.txt","https://www.ransomware.live/ransomnote/yanluowang/yanluowang.txt"
"Zeon","zeon.txt","https://www.ransomware.live/ransomnote/zeon/zeon.txt"
